chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2,mean_weight,mean_contrib
House,46,1879,0.785882503192848,0.13043478260869565,0.1103448275862069,0.06666666666666667,0,-0.01894314381270902,-0.04308361204013378,-0.3909862068965517,-0.04934482758620689,0.3948962962962963,-0.12807407407407406,0.3980151515151515,-0.12723484848484848,0.25766666666666665,-0.165,-0.34325316455696203,-0.06392405063291139,-0.44812121212121214,-0.0318939393939394,0.8130841121495327,0.6389885773624091
Senate,46,1879,0.7479428571428571,0.16049382716049382,0,0.34285714285714286,0,-0.1245679012345679,-0.07762962962962963,-0.4526,-0.11675555555555556,0.29534285714285713,-0.02717142857142857,0.2963030303030303,-0.07927272727272727,0.27949999999999997,0.8325,-0.4551363636363636,-0.2635909090909091,-0.45017391304347826,0.02369565217391304,0.18691588785046728,0.13980240320427237
House,47,1881,0.7827137902330744,0.10032362459546926,0.11029411764705882,0.02515723270440251,0,0.02634304207119741,-0.02570550161812298,-0.3949779411764706,-0.06818382352941177,0.3877358490566038,-0.05075471698113208,0.3910866666666667,-0.04299333333333333,0.3318888888888889,-0.1801111111111111,-0.33264285714285713,-0.05842857142857143,-0.4610909090909091,-0.07853030303030303,0.8130841121495327,0.6364121471988549
Senate,47,1881,0.7635713450292398,0.1411764705882353,0,0.24444444444444444,0,-0.03004705882352941,-0.08092941176470589,-0.4488157894736842,-0.05276315789473684,0.31475555555555557,-0.11304444444444443,0.31634090909090906,-0.13218181818181818,0.245,0.729,-0.4551176470588235,-0.19905882352941176,-0.4437142857142858,0.06566666666666666,0.18691588785046728,0.14272361589331586
House,48,1883,0.7244042561576354,0.2163742690058479,0.27586206896551724,0.096,0,-0.06635380116959064,-0.02984795321637427,-0.34691625615763544,-0.0528423645320197,0.377488,0.001824,0.3840086206896552,0.0091551724137931,0.29344444444444445,-0.09266666666666666,-0.2814496124031008,-0.00870542635658914,-0.46104054054054056,-0.12978378378378377,0.8130841121495327,0.5890015914552736
Senate,48,1883,0.7604694444444444,0.14102564102564102,0,0.25,0,-0.04270512820512821,-0.13512820512820511,-0.4494444444444444,-0.09166666666666666,0.311025,-0.192675,0.311025,-0.192675,NA,NA,-0.4515,-0.217,-0.4478,0.0086,0.18691588785046728,0.14214382139148493
House,49,1885,0.7493212669683258,0.14759036144578314,0.18181818181818185,0.09090909090909093,0.00606060606060606,-0.04153313253012048,-0.02931927710843373,-0.3657058823529411,-0.09301069518716576,0.38361538461538464,0.05334265734265734,0.3886350364963504,0.06003649635036496,0.269,-0.0995,-0.295877358490566,-0.08875471698113208,-0.4570864197530864,-0.09858024691358024,0.8130841121495327,0.6092612170677041
Senate,49,1885,0.7438871794871795,0.15476190476190477,0.02564102564102564,0.26666666666666666,0,-0.04730952380952381,-0.1433452380952381,-0.4458205128205128,-0.12566666666666668,0.29806666666666665,-0.15866666666666668,0.3024418604651163,-0.17690697674418604,0.204,0.2335,-0.4304117647058823,-0.2923529411764706,-0.4577272727272727,0.00313636363636363,0.18691588785046728,0.13904433261442609
House,50,1887,0.7648934640522875,0.16109422492401215,0.2058823529411765,0.0915032679738562,0.00928792569659442,-0.00687537993920972,-0.06596048632218846,-0.37025294117647056,-0.1956176470588235,0.394640522875817,0.04689542483660131,0.3934755244755245,0.06602797202797203,0.4113,-0.2267,-0.30031914893617023,-0.21047872340425533,-0.45675,-0.17723684210526316,0.8130841121495327,0.6219227231079347
Senate,50,1887,0.7474128378378377,0.15584415584415584,0.02702702702702703,0.275,0,-0.07057142857142858,-0.15187012987012988,-0.4588378378378378,-0.12308108108108108,0.28857499999999997,-0.1785,0.2956923076923077,-0.18746153846153848,0.011,0.171,-0.4378125,-0.2438125,-0.47485714285714287,-0.03109523809523809,0.18691588785046728,0.13970333417529676
House,51,1889,0.7952779457164909,0.11864406779661016,0.17159763313609466,0.06521739130434782,0,0.03135028248587571,-0.06203954802259887,-0.3836094674556213,-0.22989349112426036,0.4116684782608695,0.09103804347826087,0.41080232558139534,0.1006453488372093,0.4240833333333333,-0.04666666666666667,-0.31395505617977526,-0.2741685393258427,-0.4611,-0.1806375,0.8130841121495327,0.6466278624049973
Senate,51,1889,0.7650685203574975,0.13186813186813187,0.02631578947368421,0.20754716981132076,0,-0.00725274725274725,-0.11264835164835164,-0.4528421052631579,-0.12407894736842104,0.3122264150943396,-0.10445283018867924,0.3122264150943396,-0.10445283018867924,NA,NA,-0.424,-0.221,-0.4716521739130435,-0.06086956521739131,0.18691588785046728,0.14300346174906495
