chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2,mean_weight,mean_contrib
Senate,71,1929,0.6818991477272727,0.3302752293577982,0.4772727272727273,0.21875,0.02777777777777777,0.12638532110091744,0.05408256880733945,-0.27847727272727274,0.01261363636363636,0.403421875,0.06815625,0.4043934426229508,0.061,0.38366666666666666,0.21366666666666664,-0.19725,0.0654,-0.3461666666666667,-0.031375,0.18691588785046728,0.12745778462192012
House,72,1931,0.6160244588744589,0.3561946902654867,0.5021645021645021,0.2,0.37250554323725055,0.04431194690265486,0.14727654867256637,-0.2556926406926407,0.3235974025974026,0.3603318181818182,-0.03587272727272727,0.3607906976744186,-0.04234883720930232,0.3406,0.2426,-0.29418260869565216,-0.00862608695652174,-0.2175344827586207,0.6529568965517242,0.8130841121495327,0.5008797002063358
Senate,72,1931,0.5945192307692307,0.4,0.5,0.28846153846153844,0.17307692307692307,0.0712095238095238,0.1307047619047619,-0.22738461538461535,0.16390384615384615,0.3671346153846154,0.08121153846153846,0.3671346153846154,0.08121153846153846,NA,NA,-0.182,0.17579166666666668,-0.2662857142857143,0.15371428571428572,0.18691588785046728,0.1111250898634076
House,73,1933,0.5825792443064182,0.4608501118568233,0.5248447204968945,0.26666666666666666,0.4570135746606334,-0.09108501118568232,0.09556599552572707,-0.25148757763975155,0.2152639751552795,0.3310916666666667,-0.24065,0.3310916666666667,-0.24065,NA,NA,-0.2943268292682927,-0.05758048780487805,-0.17642735042735042,0.6933247863247863,0.8130841121495327,0.4736859276136297
Senate,73,1933,0.5398844074844075,0.4951456310679612,0.5846153846153846,0.32432432432432434,0.1568627450980392,-0.00994174757281553,0.19940776699029125,-0.20793846153846152,0.2461076923076923,0.33194594594594595,0.09632432432432432,0.33194594594594595,0.09632432432432432,NA,NA,-0.19465853658536583,0.2452926829268293,-0.230625,0.2475,0.18691588785046728,0.10091297336157148
House,74,1935,0.5606969855832241,0.4751131221719457,0.5229357798165137,0.3047619047619048,0.6412037037037037,-0.11886425339366516,0.0633212669683258,-0.2556207951070336,0.18163302752293575,0.3050761904761905,-0.27012380952380954,0.3051826923076923,-0.27390384615384616,0.294,0.123,-0.30092056074766355,-0.0871822429906542,-0.16983185840707965,0.690716814159292,0.8130841121495327,0.4558938107078551
Senate,74,1935,0.50504,0.5436893203883495,0.5733333333333334,0.4,0.18,-0.07650485436893203,0.23862135922330097,-0.20784,0.23113333333333333,0.2972,0.1726,0.2972,0.1726,NA,NA,-0.202125,0.18197916666666664,-0.218,0.31851851851851853,0.18691588785046728,0.09440000000000001
House,75,1937,0.5695082226438963,0.4798206278026906,0.5264705882352941,0.3118279569892473,0.24249422632794457,-0.13557847533632286,0.07609865470852017,-0.2559705882352941,0.1692,0.31353763440860216,-0.1773010752688172,0.31375000000000003,-0.18056521739130435,0.294,0.123,-0.30659734513274334,-0.10482300884955752,-0.15560526315789475,0.7124385964912281,0.8130841121495327,0.46305808757027084
Senate,75,1937,0.49452869440459113,0.5533980582524272,0.5487804878048781,0.4705882352941176,0.1414141414141414,-0.13127184466019418,0.2377766990291262,-0.22764634146341464,0.2425,0.26688235294117646,0.04182352941176471,0.26688235294117646,0.04182352941176471,NA,NA,-0.228875,0.170875,-0.225,0.3967692307692307,0.18691588785046728,0.09243526998216656
House,76,1939,0.5572874634728567,0.4747252747252747,0.5531135531135531,0.3539325842696629,0.21507760532150777,-0.03086373626373626,0.0612021978021978,-0.24912454212454213,0.2743809523809524,0.30816292134831463,-0.2498932584269663,0.30824293785310736,-0.252,0.294,0.123,-0.3193018867924528,-0.06980503144654088,-0.1512456140350877,0.7544298245614035,0.8130841121495327,0.45312158244989287
Senate,76,1939,0.4744190766108574,0.5480769230769231,0.5342465753424658,0.5185185185185185,0.26,-0.08299038461538462,0.1945,-0.2204931506849315,0.26094520547945205,0.25392592592592594,-0.10059259259259258,0.25392592592592594,-0.10059259259259258,NA,NA,-0.228,0.18527083333333333,-0.20608,0.40624,0.18691588785046728,0.08867646291791727
