chamber,congress,year,party.mean.diff.d1,prop.moderate.d1,prop.moderate.dem.d1,prop.moderate.rep.d1,overlap,chamber.mean.d1,chamber.mean.d2,dem.mean.d1,dem.mean.d2,rep.mean.d1,rep.mean.d2,north.rep.mean.d1,north.rep.mean.d2,south.rep.mean.d1,south.rep.mean.d2,north.dem.mean.d1,north.dem.mean.d2,south.dem.mean.d1,south.dem.mean.d2
House,46,1879,0.785882503192848,0.13043478260869565,0.1103448275862069,0.06666666666666667,0,-0.018943143812709028,-0.04308361204013378,-0.3909862068965517,-0.049344827586206896,0.3948962962962963,-0.12807407407407406,0.3980151515151515,-0.12723484848484848,0.25766666666666665,-0.165,-0.34325316455696203,-0.06392405063291139,-0.44812121212121214,-0.0318939393939394
Senate,46,1879,0.7479428571428571,0.16049382716049382,0,0.34285714285714286,0,-0.1245679012345679,-0.07762962962962963,-0.4526,-0.11675555555555556,0.29534285714285713,-0.02717142857142857,0.2963030303030303,-0.07927272727272727,0.27949999999999997,0.8325,-0.4551363636363636,-0.2635909090909091,-0.45017391304347826,0.023695652173913045
House,47,1881,0.7827137902330744,0.10032362459546926,0.11029411764705882,0.025157232704402517,0,0.026343042071197413,-0.02570550161812298,-0.3949779411764706,-0.06818382352941177,0.3877358490566038,-0.05075471698113208,0.3910866666666667,-0.042993333333333335,0.3318888888888889,-0.1801111111111111,-0.33264285714285713,-0.058428571428571434,-0.4610909090909091,-0.07853030303030303
Senate,47,1881,0.7635713450292398,0.1411764705882353,0,0.24444444444444444,0,-0.030047058823529413,-0.08092941176470589,-0.4488157894736842,-0.052763157894736845,0.31475555555555557,-0.11304444444444445,0.31634090909090906,-0.13218181818181818,0.245,0.729,-0.4551176470588235,-0.19905882352941176,-0.44371428571428573,0.06566666666666666
House,48,1883,0.7244042561576354,0.21637426900584794,0.27586206896551724,0.096,0,-0.06635380116959064,-0.02984795321637427,-0.34691625615763544,-0.0528423645320197,0.377488,0.0018240000000000005,0.3840086206896552,0.009155172413793104,0.29344444444444445,-0.09266666666666666,-0.2814496124031008,-0.008705426356589146,-0.46104054054054056,-0.12978378378378377
Senate,48,1883,0.7604694444444444,0.14102564102564102,0,0.25,0,-0.04270512820512821,-0.13512820512820511,-0.4494444444444444,-0.09166666666666666,0.311025,-0.192675,0.311025,-0.192675,NA,NA,-0.4515,-0.217,-0.4478,0.008600000000000002
House,49,1885,0.7493212669683258,0.14759036144578314,0.18181818181818182,0.09090909090909091,0.006060606060606061,-0.04153313253012048,-0.029319277108433735,-0.36570588235294116,-0.09301069518716577,0.38361538461538464,0.05334265734265734,0.3886350364963504,0.06003649635036496,0.269,-0.0995,-0.295877358490566,-0.08875471698113208,-0.4570864197530864,-0.09858024691358025
Senate,49,1885,0.7438871794871795,0.15476190476190477,0.02564102564102564,0.26666666666666666,0,-0.04730952380952381,-0.1433452380952381,-0.4458205128205128,-0.12566666666666668,0.29806666666666665,-0.15866666666666668,0.3024418604651163,-0.17690697674418604,0.20400000000000001,0.23349999999999999,-0.4304117647058823,-0.2923529411764706,-0.4577272727272727,0.0031363636363636346
House,50,1887,0.7648934640522875,0.16109422492401215,0.20588235294117646,0.0915032679738562,0.009287925696594427,-0.006875379939209725,-0.06596048632218846,-0.37025294117647056,-0.19561764705882353,0.394640522875817,0.04689542483660131,0.3934755244755245,0.06602797202797203,0.4113,-0.2267,-0.30031914893617023,-0.21047872340425533,-0.45675,-0.17723684210526316
Senate,50,1887,0.7474128378378377,0.15584415584415584,0.02702702702702703,0.275,0,-0.07057142857142858,-0.15187012987012988,-0.4588378378378378,-0.12308108108108108,0.28857499999999997,-0.1785,0.2956923076923077,-0.18746153846153846,0.011,0.171,-0.4378125,-0.2438125,-0.47485714285714287,-0.031095238095238096
